ID,Status,City,State,Zip,Life.hours,Life.No.Call.No.Show,Life.Call.Email.to.miss.shift,Life.Absence,YTD.hours,No.Call.No.Show,Call.Email.to.miss.shift,Absence,MTD.hours,MTD.No.Call.No.Show,MTD.Call.Email.to.miss.shift,MTD.Absence,Date.entered,Start.date,Stop.date,Orientation.Date
1196,Active,Philadelphia,PA,19143,28.75,0,0,0,0,0,0,0,0,0,0,0,04-12-2017,04-12-2017,,
1197,Active,Philadelphia,PA,19102,4,0,1,1,0,0,0,0,0,0,0,0,04-28-2016,04-28-2016,,05-08-2016
1198,Active,Philadelphia,PA,19136,93.6666666667,0,0,0,24.25,0,0,0,3.75,0,0,0,07-23-2014,07-23-2014,,
1199,Active,Philadelphia,PA,19115,25.5,0,0,0,0,0,0,0,0,0,0,0,08-02-2017,08-02-2017,,
1200,Active,Philadelphia,PA,19147,14.25,0,0,0,14.25,0,0,0,0,0,0,0,01-03-2018,01-03-2018,,
1201,Active,Drexel Hill,PA,19026,16.5,0,0,0,0,0,0,0,0,0,0,0,05-12-2016,05-13-2016,,
1202,Active,,,,17,0,0,0,0,0,0,0,0,0,0,0,04-12-2016,04-12-2016,,
1203,Active,Philadelphia,PA,19130-3134,55,0,0,0,12,0,0,0,2,0,0,0,12-13-2012,12-14-2012,,
1204,Active,Philadelphia,PA,19139,0,0,0,0,0,0,0,0,0,0,0,0,08-14-2017,08-14-2017,,
1205,Active,Philadelphia,PA,19136,75,0,0,0,19,0,0,0,6.5,0,0,0,07-15-2016,07-15-2016,,
1206,Active,Philadelphia,PA,19130,0,0,0,0,0,0,0,0,0,0,0,0,04-24-2017,04-24-2017,,
1207,Active,Philadelphia,PA,19111,95,0,0,0,0,0,0,0,0,0,0,0,10-17-2012,10-17-2012,,
1208,Active,Philadelphia,PA,19106,307.8,0,0,0,2.5,0,0,0,0,0,0,0,10-14-2013,10-14-2013,,
1209,Active,Philadelphia,PA,19149,45,0,0,0,45,0,0,0,6.5,0,0,0,09-25-2017,09-25-2017,,
1210,Active,phila,PA,19111,2.5,0,0,0,0,0,0,0,0,0,0,0,10-10-2017,10-10-2017,,
1211,Active,Philadelphia,PA,19146,0,0,0,0,0,0,0,0,0,0,0,0,10-04-2017,10-04-2017,,
1212,Active,Philadelphia,PA,19130,12,0,0,0,6,0,0,0,0,0,0,0,05-02-2017,05-02-2017,,
1213,Active,Philadelphia,PA,19154,329,0,0,0,44,0,0,0,8,0,0,0,10-22-2012,10-22-2012,,
1214,Active,Wynnewood,PA,19096,8,0,0,0,0,0,0,0,0,0,0,0,08-18-2017,08-18-2017,,
